Time data (V), Frequency (Hz), Spectrum (dBFS)
-0.055729,3024.000,-118.201598
-0.001158,3028.000,-118.118399
-0.055612,3032.000,-115.488640
-0.001185,3036.000,-119.251459
-0.055611,3040.000,-129.444700
-0.001161,3044.000,-123.241637
-0.055844,3048.000,-121.056347
-0.001015,3052.000,-123.253768
-0.055615,3056.000,-115.020095
-0.000068,3060.000,-113.553826
-0.055480,3064.000,-118.624866
0.000830,3068.000,-123.062216
-0.055532,3072.000,-130.450359
0.001155,3076.000,-125.784445
-0.055515,3080.000,-123.558443
0.001377,3084.000,-119.648787
-0.055292,3088.000,-115.736213
0.001266,3092.000,-119.124621
-0.055425,3096.000,-118.827777
0.001234,3100.000,-122.331781
-0.055465,3104.000,-153.292014
0.001075,3108.000,-122.847379
-0.055495,3112.000,-117.189872
0.000885,3116.000,-114.640396
-0.055663,3120.000,-122.999696
0.000774,3124.000,-119.932342
-0.055546,3128.000,-122.760576
0.000602,3132.000,-123.082087
-0.055572,3136.000,-120.050927
0.000469,3140.000,-125.068020
-0.055762,3144.000,-120.614220
0.000081,3148.000,-117.465951
-0.055660,3152.000,-123.990544
-0.000479,3156.000,-140.725592
-0.055724,3160.000,-122.665200
-0.000914,3164.000,-115.482309
-0.055797,3168.000,-118.247883
-0.001082,3172.000,-122.828514
-0.055629,3176.000,-118.483410
-0.001176,3180.000,-122.890401
-0.055561,3184.000,-123.342680
-0.001105,3188.000,-119.044865
-0.055688,3192.000,-124.419942
-0.001106,3196.000,-119.472658
-0.055803,3200.000,-119.269959
-0.001133,3204.000,-117.942515
-0.055632,3208.000,-121.984349
-0.001166,3212.000,-132.525005
-0.055626,3216.000,-123.383775
-0.001143,3220.000,-118.789157
-0.055601,3224.000,-120.190045
-0.001102,3228.000,-124.144050
-0.055473,3232.000,-130.180890
-0.000330,3236.000,-119.973915
-0.055615,3240.000,-115.682546
0.000660,3244.000,-121.835651
-0.055412,3248.000,-129.008234
0.001061,3252.000,-123.064728
-0.055367,3256.000,-123.497325
0.001388,3260.000,-128.900490
-0.055486,3264.000,-121.915295
0.001416,3268.000,-122.789478
-0.055497,3272.000,-140.772584
0.001280,3276.000,-126.524609
-0.055576,3280.000,-123.280219
0.001153,3284.000,-118.497431
-0.055711,3288.000,-119.952355
0.000996,3292.000,-132.786802
-0.055492,3296.000,-127.509909
0.000860,3300.000,-128.906733
-0.055483,3304.000,-119.757750
0.000603,3308.000,-117.016079
-0.055640,3312.000,-120.356431
0.000362,3316.000,-130.461678
-0.055590,3320.000,-129.670676
-0.000281,3324.000,-135.425879
-0.055608,3328.000,-126.415874
-0.000726,3332.000,-124.545991
-0.055615,3336.000,-117.069204
-0.000912,3340.000,-118.288778
-0.055616,3344.000,-126.420534
-0.001139,3348.000,-127.595251
